Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Kustinpolku 17 A,60.218499,24.924674,1h+kt,1,0,"28,5 m²",2023,830 €/kk 
Retkeilijänkatu 1,60.20580400000001,25.1203533,2H+KT,2,0,43 m²,2017,930 €/kk 
Aleksis Kiven katu 35 B,60.1942083,24.9412851,3h+avok+kph+s+lasitettu p,3,1,"64,5 m²",2010,1 540 €/kk 
Solnantie 37,60.1992509,24.8810889,1H+KK,1,0,30 m²,1952,835 €/kk 
Sammatintie 13 A,60.1986182,24.9551882,3h+kt,3,0,61 m²,2023,1 380 €/kk 
Venemestarintie 4 F,60.20670279999999,25.1314533,2h+kk,2,0,"41,5 m²",1964,849 €/kk 
Ansaritie 2-4 C,60.2089507,24.8859766,1h+kt,1,0,25 m²,1960,779 €/kk 
Vähäntuvantie 6,60.23297969999999,24.8491163,3H+K,3,0,53 m²,1963,1 060 €/kk 
Länsisatamankatu 31 B,60.156048,24.912702,2h + k + kph + p,2,0,"45,5 m²",2023,1 350 €/kk 
Rajatie 5a C,60.2626544,25.0190923,3h+k+s,3,1,82 m²,2009,1 430 €/kk 
Agronominraitti 6,60.2342829,25.036961,3H+K+S,3,1,77 m²,2006,1 350 €/kk 
Kaustisenpolku 5,60.23951400000001,24.8793487,3H+K,3,0,"71,5 m²",1974,1 190 €/kk 
Tilkankuja 6 B 9,60.1977244,24.8966348,3h+k+lasitettu parv,3,0,"75,5 m²",1995,1 400 €/kk 
Taidemaalarinkatu 12 B 23,60.2616152,24.8926736,1H+ALK+KT,1,0,33 m²,2017,785 €/kk 
Paukkulantie 2 B,60.23152019999999,25.0545458,3h+kt,3,0,56 m²,2020,1 025 €/kk 
Paahtajankuja 4 A,60.20550989999999,25.1498803,2h+kt,2,0,34 m²,2021,865 €/kk 
Jousimiehentie 10 G,60.27331700000001,24.986236,"1h,kk,kph,p",1,0,33 m²,1973,700 €/kk 
Klaavuntie 8-10 C,60.20927969999999,25.0971015,2h+k,2,0,56 m²,1961,859 €/kk 
Ulvilantie 29,60.2067387,24.8740775,"1h, kk, kph, wc",1,0,26 m²,1959,1 829 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3h+kt,3,0,54 m²,2023,2 030 €/kk 
Kauppakartanonkuja 3,60.20995319999999,25.0861237,2H+KK,2,0,"48,5 m²",1975,919 €/kk 
Hämeentie 5b A,60.18115569999999,24.9540002,1h+k,1,0,36 m²,1989,918 €/kk 
Kivipadontie 6h B,60.233337,24.948913,4h+kt+s,4,1,83 m²,2023,1 630 €/kk 
Artturi Kanniston tie 10 B,60.219113,24.8939325,"2 h, kk, kph, parveke",2,0,49 m²,1960,880 €/kk 
Nordenskiöldinkatu 2,60.18560770000001,24.9164271,2H+K,2,0,"53,5 m²",1937,1 198 €/kk 
Vanha Helsingintie 19,60.2491394,25.0094989,2h + avok,2,0,34 m²,2023,820 €/kk 
Liisankatu 14 B 41,60.1739925,24.9549301,3h+k+halli,3,0,90 m²,1929,2 000 €/kk 
KONALANTIE 7 D,60.2281704,24.8517362,2h+kt,2,0,"38,5 m²",1974,860 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,1H+KT,1,0,"30,5 m²",2023,885 €/kk 
Saanatunturintie 2 A,60.23510539999999,25.1270304,2h+k+kph+lasitettu parveke,2,0,55 m²,1973,748 €/kk 
Humalistonkatu 15 A,60.1836335,24.9176612,2h+kt+vh+kph+et,2,0,50 m²,1939,989 €/kk 
Gustav Pauligin katu 5a B,60.206121,25.150977,2h+kt,2,0,35 m²,2022,890 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"41,5 m²",2023,1 265 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,2h+kt,2,0,"42,5 m²",2023,985 €/kk 
Jäkälätie 8,60.2625925,25.029978,2h + k,2,0,59 m²,1967,900 €/kk 
Albertinkatu 31,60.16509790000001,24.9324138,"3h, k, kph, p",3,0,48 m²,1941,3 636 €/kk 
Von Daehnin katu 11,60.2311509,25.0444668,3H+KK+S,3,1,"67,5 m²",2008,"1239,68 €/kk "
HENRIKINTIE 7 E,60.22637179999999,24.8494146,1H+KK,1,0,33 m²,1991,788 €/kk 
Annankatu  31-33 C,60.1680921,24.9354998,"1h, kk, wc",1,0,25 m²,1925,750 €/kk 
Kustinpolku 17 A,60.218499,24.924674,2h+kt,2,0,"48,5 m²",2023,1 100 €/kk 
Jätkäsaarenkuja 16 G,60.1583743,24.9165935,2h+kk,2,0,49 m²,2016,1 298 €/kk 
Kestikuja 1,60.2320571,24.9771856,3H+K,3,0,"66,5 m²",1987,1 120 €/kk 
Linnankatu 10 B 48,60.1655354,24.9696967,2 h +k+s+terassi,2,1,59 m²,2006,1 520 €/kk 
Kivipadontie 6h A,60.233337,24.948913,2h+kt+s,2,1,"46,5 m²",2023,1 040 €/kk 
Kuuluttajankatu 2,60.2045528,24.9177801,3H+KT+S,3,1,"77,5 m²",2013,1 598 €/kk 
Kahvipavunkuja 2 B,60.20509190000001,25.1477684,3h+kt,3,0,"70,5 m²",2019,1 380 €/kk 
Suvilahdenkatu 6 A 7,60.18734440000001,24.9677822,3h+k+s+lasitettu parv,3,1,"76,5 m²",1999,1 620 €/kk 
Wavulinintie 1,60.15412229999999,24.8789073,"1h, ak, kph, wc",1,0,30 m²,1954,1 680 €/kk 
Bulevardi 31,60.163107,24.9312636,2H+KT,2,0,"33,5 m²",2023,1 148 €/kk 
Sturenkatu 43-45 D,60.1958697,24.9601349,1h+kk+kph,1,0,"26,5 m²",1929,787 €/kk 
Leikosaarentie 12 A,60.20284290000001,25.1374301,4h+k+s,4,1,91 m²,1995,1 531 €/kk 
Sorvaajankatu 1 B 24,60.1931757,25.0431227,3h+k+s+lasitettu parv,3,1,73 m²,2013,1 460 €/kk 
LINNANKOSKENKATU 4 B,60.1852943,24.9199337,2H+KK,2,0,"35,5 m²",1937,1 093 €/kk 
Kontulantie 19,60.23706199999999,25.0962363,2H+KT,2,0,"41,5 m²",2016,898 €/kk 
Vähäntuvantie 4,60.2339876,24.8538784,2k+k,2,0,54 m²,1968,1 290 €/kk 
Karhulantie 13,60.2178408,25.1042321,2H+KT,2,0,45 m²,2015,1 047 €/kk 
Yliskyläntie 2 C,60.1809921,25.0510924,3H+K+S,3,1,76 m²,1996,1 263 €/kk 
Aarteenetsijänkuja 8,60.23804060000001,25.1044663,"2h, K, s, las parveke",2,1,62 m²,1988,890 €/kk 
Vuotie 49a A,60.2072362,25.1496668,3h+kt,3,0,61 m²,2023,1 360 €/kk 
Näyttelijäntie 24 G,60.23249769999999,24.8925323,2h+kt,2,0,"49,5 m²",1959,1 009 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,1h+kt,1,0,32 m²,2023,865 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,42 m²,2023,1 045 €/kk 
SUUNNITTELIJANKATU 4 B,60.1952799,25.034364,1 H + KT,1,0,"34,5 m²",2020,953 €/kk 
